Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Dec-90,190375.00,218161.00,NA,125333.00,NA,NA,NA,NA,87682.00,NA,90556.00,84259.00,NA,NA,NA,212855.00,NA,325000.00,NA,131999.00,92500.00,NA,200000.00,185000.00,NA,228532.00,184000.00,NA,139513.00,130000.00,NA,127787.00,181470.00,272777.00,109374.00,194090.00,NA,228503.00,254720.00,239062.00,NA,NA,NA,174615.00,NA,NA,NA,72857.00,NA,234910.00,NA,NA,136050.00,200147.00,NA,NA,NA,NA,222261.00,NA
Jan-91,192054.00,216532.00,NA,118332.00,NA,NA,NA,NA,97856.00,NA,96666.00,87999.00,NA,NA,NA,197706.00,NA,313461.00,NA,130000.00,95833.00,NA,209615.00,168333.00,NA,226793.00,180000.00,NA,137571.00,130700.00,NA,131428.00,182000.00,270161.00,108461.00,206321.00,328889.00,213881.00,247250.00,NA,NA,NA,NA,178461.00,NA,NA,NA,84444.00,NA,225000.00,NA,NA,141270.00,189214.00,NA,NA,NA,NA,225892.00,NA
Feb-91,194806.00,222896.00,NA,121333.00,NA,NA,NA,NA,96666.00,NA,89499.00,88333.00,NA,NA,NA,199157.00,NA,312500.00,NA,133333.00,108749.00,NA,222500.00,170000.00,NA,226398.00,172730.00,NA,134639.00,131000.00,NA,130000.00,178888.00,270714.00,110000.00,203525.00,285256.00,219148.00,243870.00,253750.00,NA,NA,NA,182857.00,NA,NA,NA,103182.00,NA,228030.00,NA,NA,138990.00,205010.00,NA,NA,NA,NA,226188.00,NA
Mar-91,202666.00,221768.00,NA,123000.00,NA,NA,NA,NA,91364.00,NA,96874.00,85370.00,NA,NA,NA,207940.00,NA,350000.00,NA,146666.00,102500.00,NA,193333.00,165555.00,NA,234877.00,170910.00,NA,137607.00,137000.00,NA,134416.00,183111.00,268055.00,112083.00,190808.00,317910.00,248073.00,248560.00,244230.00,NA,NA,NA,183469.00,NA,NA,NA,91667.00,NA,223080.00,NA,NA,144551.00,214681.00,NA,NA,NA,NA,229262.00,NA
Apr-91,207718.00,233192.00,NA,118749.00,NA,NA,NA,NA,92500.00,NA,105454.00,89614.00,NA,NA,NA,213442.00,NA,341666.00,NA,NA,109166.00,NA,235000.00,185000.00,NA,235078.00,180000.00,NA,134524.00,140000.00,NA,133377.00,183114.00,279941.00,120417.00,196248.00,319101.00,276409.00,262460.00,242499.00,NA,NA,NA,179195.00,NA,NA,NA,95384.00,NA,230730.00,NA,NA,150138.00,221656.00,NA,NA,NA,NA,231764.00,NA
May-91,211001.00,239885.00,NA,127894.00,NA,NA,NA,NA,98939.00,NA,105833.00,89832.00,NA,NA,NA,218892.00,NA,346938.00,NA,136666.00,100000.00,NA,222580.00,181000.00,NA,240532.00,171050.00,NA,139903.00,139000.00,NA,134810.00,188732.00,280319.00,120000.00,197628.00,333474.00,225076.00,268780.00,246527.00,NA,NA,NA,184038.00,NA,NA,NA,92307.00,NA,227360.00,NA,NA,147136.00,221727.00,NA,NA,NA,NA,244494.00,NA
Jun-91,206722.00,229129.00,NA,120714.00,NA,NA,NA,NA,97023.00,NA,102500.00,91136.00,NA,NA,NA,224055.00,NA,367021.00,NA,134999.00,103750.00,NA,189230.00,186666.00,NA,237573.00,187270.00,NA,141512.00,136800.00,NA,132513.00,188509.00,291666.00,120000.00,225433.00,338938.00,252993.00,277450.00,261538.00,NA,NA,NA,191607.00,NA,NA,NA,90909.00,NA,241180.00,NA,NA,145752.00,222285.00,NA,NA,NA,NA,242687.00,NA
Jul-91,206069.00,234042.00,NA,113571.00,NA,NA,NA,NA,100233.00,NA,110833.00,94594.00,NA,NA,NA,230028.00,NA,347272.00,NA,142000.00,104545.00,NA,227778.00,187272.00,NA,237555.00,182220.00,NA,145495.00,140000.00,NA,140294.00,190000.00,294339.00,123500.00,192916.00,334183.00,241405.00,268200.00,250000.00,NA,NA,NA,191304.00,NA,NA,NA,93571.00,NA,229230.00,NA,NA,145670.00,226712.00,NA,NA,NA,NA,242132.00,NA
Aug-91,200340.00,231551.00,NA,120500.00,NA,NA,NA,NA,98408.00,NA,103750.00,95000.00,NA,NA,NA,220858.00,NA,350000.00,NA,144286.00,112857.00,NA,216071.00,185384.00,NA,236437.00,182140.00,NA,147167.00,139900.00,NA,132409.00,198522.00,286499.00,115999.00,208609.00,356185.00,223947.00,267250.00,253409.00,NA,NA,NA,195384.00,NA,NA,NA,90000.00,NA,235380.00,NA,NA,147180.00,216189.00,NA,NA,NA,NA,234388.00,NA
Sep-91,197801.00,224811.00,NA,117856.00,NA,NA,NA,NA,98973.00,NA,93333.00,94714.00,NA,NA,NA,231449.00,NA,347368.00,NA,140000.00,101428.00,NA,181667.00,210000.00,NA,235668.00,171670.00,NA,150449.00,135000.00,NA,135063.00,181046.00,278921.00,125000.00,192589.00,327118.00,185124.00,251220.00,256731.00,NA,NA,NA,196666.00,NA,NA,NA,100000.00,NA,236140.00,NA,NA,146590.00,208125.00,NA,NA,NA,NA,234009.00,NA
