,01-01-1990,01-02-1990,01-03-1990,01-04-1990,01-05-1990,01-06-1990,01-07-1990,01-08-1990,01-09-1990,01-10-1990,01-11-1990,01-12-1990,01-01-1991,01-02-1991,01-03-1991,01-04-1991,01-05-1991,01-06-1991,01-07-1991,01-08-1991,01-09-1991,01-10-1991,01-11-1991,01-12-1991,01-01-1992,01-02-1992,01-03-1992,01-04-1992,01-05-1992,01-06-1992,01-07-1992,01-08-1992,01-09-1992,01-10-1992,01-11-1992,01-12-1992,01-01-1993,01-02-1993,01-03-1993,01-04-1993,01-05-1993,01-06-1993,01-07-1993,01-08-1993,01-09-1993,01-10-1993,01-11-1993,01-12-1993,01-01-1994,01-02-1994,01-03-1994,01-04-1994,01-05-1994,01-06-1994,01-07-1994,01-08-1994,01-09-1994,01-10-1994,01-11-1994,01-12-1994,01-01-1995,01-02-1995,01-03-1995,01-04-1995,01-05-1995,01-06-1995,01-07-1995,01-08-1995,01-09-1995,01-10-1995,01-11-1995,01-12-1995,01-01-1996,01-02-1996,01-03-1996,01-04-1996,01-05-1996,01-06-1996,01-07-1996,01-08-1996,01-09-1996,01-10-1996,01-11-1996,01-12-1996,01-01-1997,01-02-1997,01-03-1997,01-04-1997,01-05-1997,01-06-1997,01-07-1997,01-08-1997,01-09-1997,01-10-1997,01-11-1997,01-12-1997,01-01-1998,01-02-1998,01-03-1998,01-04-1998,01-05-1998,01-06-1998,01-07-1998,01-08-1998,01-09-1998,01-10-1998,01-11-1998,01-12-1998,01-01-1999,01-02-1999,01-03-1999,01-04-1999,01-05-1999,01-06-1999,01-07-1999,01-08-1999,01-09-1999,01-10-1999,01-11-1999,01-12-1999,01-01-2000,01-02-2000,01-03-2000,01-04-2000,01-05-2000,01-06-2000,01-07-2000,01-08-2000,01-09-2000,01-10-2000,01-11-2000,01-12-2000,01-01-2001,01-02-2001,01-03-2001,01-04-2001,01-05-2001,01-06-2001,01-07-2001,01-08-2001,01-09-2001,01-10-2001,01-11-2001,01-12-2001,01-01-2002,01-02-2002,01-03-2002,01-04-2002,01-05-2002,01-06-2002,01-07-2002,01-08-2002,01-09-2002,01-10-2002,01-11-2002,01-12-2002,01-01-2003,01-02-2003,01-03-2003,01-04-2003,01-05-2003,01-06-2003,01-07-2003,01-08-2003,01-09-2003,01-10-2003,01-11-2003,01-12-2003,01-01-2004,01-02-2004,01-03-2004,01-04-2004,01-05-2004,01-06-2004,01-07-2004,01-08-2004,01-09-2004,01-10-2004,01-11-2004,01-12-2004,01-01-2005,01-02-2005,01-03-2005,01-04-2005,01-05-2005,01-06-2005,01-07-2005,01-08-2005,01-09-2005,01-10-2005,01-11-2005,01-12-2005,01-01-2006,01-02-2006,01-03-2006,01-04-2006,01-05-2006,01-06-2006,01-07-2006,01-08-2006,01-09-2006,01-10-2006,01-11-2006,01-12-2006,01-01-2007,01-02-2007,01-03-2007,01-04-2007,01-05-2007,01-06-2007,01-07-2007,01-08-2007,01-09-2007,01-10-2007,01-11-2007,01-12-2007,01-01-2008,01-02-2008,01-03-2008,01-04-2008,01-05-2008,01-06-2008,01-07-2008,01-08-2008,01-09-2008,01-10-2008,01-11-2008,01-12-2008,01-01-2009,01-02-2009,01-03-2009,01-04-2009,01-05-2009,01-06-2009,01-07-2009,01-08-2009,01-09-2009,01-10-2009,01-11-2009,01-12-2009,01-01-2010,01-02-2010,01-03-2010,01-04-2010,01-05-2010,01-06-2010,01-07-2010,01-08-2010,01-09-2010,01-10-2010,01-11-2010,01-12-2010,01-01-2011,01-02-2011,01-03-2011,01-04-2011,01-05-2011,01-06-2011,01-07-2011,01-08-2011,01-09-2011,01-10-2011,01-11-2011,01-12-2011,01-01-2012,01-02-2012,01-03-2012,01-04-2012,01-05-2012,01-06-2012,01-07-2012,01-08-2012,01-09-2012,01-10-2012,01-11-2012,01-12-2012,01-01-2013,01-02-2013,01-03-2013,01-04-2013,01-05-2013,01-06-2013,01-07-2013,01-08-2013,01-09-2013,01-10-2013,01-11-2013,01-12-2013,01-01-2014,01-02-2014,01-03-2014,01-04-2014,01-05-2014,01-06-2014,01-07-2014,01-08-2014,01-09-2014,01-10-2014,01-11-2014,01-12-2014,01-01-2015,01-02-2015,01-03-2015,01-04-2015,01-05-2015,01-06-2015,01-07-2015,01-08-2015,01-09-2015,01-10-2015,01-11-2015,01-12-2015,01-01-2016,01-02-2016,01-03-2016,01-04-2016,01-05-2016,01-06-2016,01-07-2016,01-08-2016,01-09-2016,01-10-2016,01-11-2016,01-12-2016,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-01-2022,01-02-2022,01-03-2022,01-04-2022,01-05-2022,01-06-2022,01-07-2022,01-08-2022,01-09-2022,01-10-2022,01-11-2022,01-12-2022,01-01-2023,01-02-2023,01-03-2023,Average
Kern,85892,80294,87758,80323,86562,87499,88780,86477,92812,87386,87999,84259,87999,88333,85370,89614,89832,91136,94594,95000,94714,92000,92045,89047,85833,89249,95799,91750,87592,87833,92353,91842,97083,90588,96666,92000,86071,84000,85000,91458,91333,95767,95294,89848,98946,88408,91400,92812,87954,89523,98636,92708,85972,92750,87187,88124,86499,85000,82692,85576,95000,90333,83500,83182,83788,92500,88199,92173,88213,87031,91364,85869,86388,86458,93823,90455,91250,91000,92083,91579,84558,91667,91304,85681,93928,91053,87068,87419,84545,93695,95000,96666,91087,85303,89374,88620,86590,86428,91923,84843,93500,95199,90652,95862,88999,89633,94000,87567,99285,88275,86612,88054,89890,93166,93103,89761,88499,81500,87618,81818,94565,83125,93600,88928,76533,88461,93414,92894,94242,93571,88139,90694,85952,96499,95238,101875,99305,99599,102763,110515,101884,105901,101786,105438,107391,103962,112711,106913,115256,116295,117030,127143,125082,128026,131666,130517,126379,129555,137212,133787,137428,146557,148867,158447,148192,145517,154285,150153,141625,160000,164925,183000,175000,193000,192000,200000,208750,210000,206000,213750,225735,227552,243386,260141,258359,281777,286589,293323,293535,284000,293484,291349,277591,286910,290000,281000,293000,299925,295000,285000,298761,276000,279900,280500,276000,282000,278500,275000,272009,285000,273000,270000,260000,254500,247450,240000,230000,235000,220000,209950,205500,200000,190000,180000,175000,160000,151150,147000,126400,130000,136719,115000,125000,130000,133750,133000,130000,138000,141250,135000,127900,147599,136000,136250,145520,132000,144700,142700,130000,135000,130000,125000,127000,125000,127500,126750,135000,140000,139950,133950,131000,134000,134320,134950,130000,120650,132380,146000,137500,144450,141500,155000,150000,155000,150000,161150,164200,170000,175000,180000,188000,195000,195500,199950,193500,185000,190000,208100,210340,195000,201000,200000,209950,215000,210160,214680,215000,215000,211220,211250,195000,217500,208550,215050,228600,219330,229700,225000,219900,210000,219000,215000,215000,220000,220000,215600,225000,239700,233500,220000,215000,227000,225000,220000,215000,218000,225000,236750,230000,229450,235000,235100,234700,229500,235000,233000,225500,237000,232500,235000,247750,245000,250000,247000,241000,240000,235250,242380,240000,240000,249950,250000,252000,259450,263000,255500,257600,262000,258000,262900,252000,259000,259480,272000,270000,275000,282980,285840,292000,295000,290000,300000,302000,295000,310000,315000,317000,325000,330000,326000,341500,340000,336940,350000,367000,370000,369750,385000,385000,380000,362900,373250,365000,379980,370000,365000,357500,375000,365000,172057.4937
Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231521,257692,268055,238749,242045,260714,266666,263235,243268,235937,256944,254167,236363,253571,253125,254167,243749,239705,232812,231666,233928,213889,229411,229999,222916,210000,200000,214062,202083,210526,226086,204687,194545,193333,202500,176666,186250,160000,158332,185000,163333,171666,178888,153999,174999,156249,166000,155833,174999,165000,154285,170000,178570,174999,177999,168570,167860,167780,164000,158000,147140,154000,137270,136150,137690,154000,114280,130000,141670,138180,152860,131670,140000,144000,139090,152940,143330,136870,141000,153330,156670,151430,139230,146000,153330,153750,146000,157140,149000,147780,173330,184000,168460,181000,171670,154280,160000,182500,179230,166250,171670,194440,175450,183330,183330,168670,192500,195550,172500,196000,190000,172860,183330,195380,193790,184000,198000,180000,185000,200000,190000,205000,205000,202000,215000,207000,215000,209220,197000,217000,210000,215000,200000,222500,215000,232000,211000,230000,222000,225000,223000,213500,230000,225000,238000,215000,238000,235000,235000,245000,224980,227750,239950,229000,222000,243000,219900,221000,232000,240000,260000,247150,254750,258450,258000,251000,258000,255000,247450,255000,250000,260900,249950,265000,275000,265500,264000,290500,265000,281750,278750,280000,292500,305000,315000,295000,320000,310000,320000,325000,333500,330000,322500,327000,325000,360000,381500,327000,350000,321750,342500,328000,325000,337000,365000,352000,355000,217400.5459
Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,103750,96999,88499,97856,107500,98333,110000,92500,82500,106666,100000,76666,82000,111999,95000,98333,107777,90000,101429,103333,108333,100000,104000,95000,83000,110000,90000,102857,102857,87499,94166,87499,83750,114999,95000,92000,95000,93333,117999,123333,89166,94166,89374,103000,80833,85714,95000,77499,87499,93571,112499,85999,89285,97499,92500,105555,97499,109000,98333,98999,95000,107777,108333,96153,107777,110999,117058,112499,110666,113333,112307,95000,136666,117691,118888,117691,121053,125000,128181,140000,123571,131052,134999,114444,137142,132499,140000,147692,138666,135833,151666,134999,138888,147777,132999,146000,148750,144286,160000,157777,193999,166154,163077,193749,170624,182000,186154,172857,157999,184444,207692,202273,190909,215000,227173,234782,226851,226470,218750,222222,220454,223000,262500,263889,269827,254630,270833,297916,260869,280882,301724,238888,260000,268750,288636,297825,314706,320652,325000,331666,293749,330434,342857,322222,314286,283823,344736,297726,348333,334615,320000,289999,281578,315625,289583,275000,303846,337500,295832,325000,271153,286538,243749,280555,234999,232499,247221,217857,215000,222727,212500,241666,234090,215625,218750,190000,196363,186666,164000,171666,160000,164286,150000,153333,148571,160000,145833,161429,150000,156666,162857,137140,128181,155000,126000,135000,146430,140770,132860,127500,125000,113640,113750,107500,123330,94170,98330,105560,85620,118890,123640,120000,96500,128750,114170,118570,103640,110000,113330,128000,116870,135450,125560,146670,111430,142500,127500,134440,125000,145000,156670,141250,155000,141430,153330,150000,196250,143330,165000,160000,170000,158460,158000,170000,184440,174540,178330,180000,190000,186670,162860,163330,184290,225000,200000,217190,211670,212000,215000,225000,210000,256000,218000,235000,190000,242450,240500,238000,259000,245250,234500,220000,262500,259000,210000,215000,230000,215000,248468,240000,259500,265000,241500,234250,257500,262000,269500,279000,234500,280000,285000,263400,298800,249950,265000,288000,265250,255000,269000,265000,260000,243500,262400,267000,270000,249000,260000,270000,275000,297500,271500,253000,235000,275500,272000,300000,322500,307000,309500,307500,325000,317000,306950,300000,326500,333000,324950,360000,335000,351000,335000,372120,345000,335000,341250,349900,360000,370000,321000,360000,365000,356000,330000,339500,353000,336000,370000,310000,305000,351250,195709.1311
Lassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,135000,112000,152950,134450,166000,165000,185000,161090,142500,144500,159000,175000,171000,182000,175500,192500,195000,171000,215000,145500,160000,189000,175000,217750,280000,135000,155500,215000,212000,185000,192500,159450,148000,184000,208000,228500,185000,220000,200950,205000,215000,225000,200000,180000,162000,222500,247500,239000,199000,230000,167000,195000,225000,205000,249000,272500,194500,231250,215000,249500,208250,252000,253000,247450,244950,215000,204500,205000,232500,264750,292000,259000,239000,243000,245000,302500,260000,260000,199000,269000,290500,210250,170000,260000,212500,249000,205201.6092
Los Angeles,215338,208399,208135,219004,209065,210606,225251,213478,211552,207801,202717,212855,197706,199157,207940,213442,218892,224055,230028,220858,231449,209256,202237,222829,213951,207018,218844,211762,204440,211278,221820,212099,212738,201149,207083,214005,207810,195681,198013,197547,188159,198428,209132,205319,204656,196762,192945,201134,194086,184741,184207,185304,175208,189800,197166,193129,199793,189198,188980,195359,186714,169600,163147,165889,156469,172655,180077,178717,186901,162525,159524,178186,175746,163158,161760,162025,154313,172152,174329,174590,191264,167848,161823,167550,170223,158193,157992,159912,156131,173522,176878,181888,192235,178860,167707,180722,176261,169043,167343,171035,167067,194120,200749,200735,210536,187040,181937,192491,185547,184903,181409,189528,184558,204441,206165,205611,220873,191884,188348,197781,200055,194814,190354,197372,184576,218166,224681,233351,245860,216145,213119,221340,213796,213684,216504,213628,212274,244664,252020,254947,276206,244995,239008,255191,258972,251811,253609,260195,251712,286326,291245,304918,325418,294631,288319,307489,302861,291928,290523,305047,300669,340955,364344,377989,406301,359477,352761,378200,381935,371042,371789,391502,391691,446725,460110,457166,495561,445781,436452,459461,469028,450086,443496,451503,447789,515669,541717,561791,608623,532586,524509,534443,556046,537774,521676,526407,503127,558069,576557,582953,625043,562802,556528,585447,555713,534759,552287,563330,544858,591741,610196,618652,625812,518300,483778,505577,464335,442892,396024,397050,368059,386403,386128,381736,385269,336764,314305,318075,285798,267830,255665,252776,248851,286657,298719,310957,345597,308280,315397,332267,316698,283299,290000,289710,297410,310871,331420,336420,355900,333970,302450,328140,305570,286100,282170,290600,271540,301300,317060,312900,330610,307970,291260,306950,290900,272690,272920,286800,282930,315390,334190,344770,373020,364810,337080,367400,349720,337630,340890,361630,365990,403760,421350,444950,459010,447130,405470,439830,423570,389080,395660,406750,411640,435950,461290,474640,486030,477600,434070,464650,441610,419260,419370,427010,432570,473290,490360,492360,517750,509570,457870,502750,480950,444410,441700,457180,467290,502190,513700,520400,550705,536760,487060,522520,509130,470200,465810,480230,492040,548220,566240,570720,606110,580360,530920,577690,564100,527280,528980,528540,536940,586090,597520,607490,634680,614500,553940,588140,566010,541390,525520,544170,539480,599680,611230,627690,663110,647900,594840,641340,617520,580690,567910,565170,553710,619320,660340,692630,766010,745080,673310,660000,697660,664120,689440,718440,725680,796120,809750,830070,886050,848970,769500,826500,800960,773490,781050,801680,798720,860230,846320,854960,891770,854560,836630,799670,778540,726870,718370,377829.0175
Madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247726,275000,250000,226785,231249,221875,211905,185833,174705,175999,167500,160000,170666,163636,142857,142000,126363,151818,149375,145000,138823,144666,159285,132142,140667,160000,146000,145830,140910,135555,146666,142500,141670,140000,129000,143080,146150,149230,133530,135380,116670,122000,92500,128750,125380,132500,103330,106000,113750,103330,125000,137500,124290,128890,118330,127500,120000,140000,113330,144290,98330,130000,136000,170000,142000,150000,175710,170000,190000,153330,160000,200000,200000,172860,206670,214060,223210,206250,211110,213890,207500,210420,236360,212500,245000,217500,198750,222500,222060,199000,215000,211500,218480,202500,220000,228500,227500,219920,219500,215000,213500,230380,233000,245000,240000,225000,216950,237500,237500,230000,239000,240000,249000,274900,279250,263500,269900,251980,245000,239000,275000,255000,265000,244000,259000,268000,250000,254900,282500,254950,265000,263000,260000,259000,265000,271950,270000,291250,297500,279000,276500,299950,295500,285100,334790,285000,285000,306500,297500,300000,313850,329000,331120,302750,320000,335000,325000,354500,365000,378000,360000,357500,390000,377500,375000,394880,392500,375000,394000,400000,430000,418000,430000,421000,433000,400000,410000,400000,413000,410500,387460,378000,417000,232472.3279
Marin,346153,338333,358571,359574,374999,394185,357291,365217,337500,351851,330000,325000,313461,312500,350000,341666,346938,367021,347272,350000,347368,342307,367856,355882,346428,293478,364062,315454,350000,342045,350925,369736,320238,333333,330909,338000,310294,323333,330263,315625,333750,354081,332291,342727,340196,334782,348000,324166,314815,348333,331147,367241,344029,349074,363114,351492,341509,335294,352777,351041,340384,334091,325641,339473,341176,345967,356122,368548,350000,333673,325000,353658,333333,340322,361538,368749,376414,390322,377026,360605,354651,355172,363953,359183,358163,320000,376470,384425,403509,384166,380898,378915,383087,395521,378905,384677,371621,387777,405769,429166,425000,429411,458181,422093,456818,436904,438571,417442,445000,469999,467441,526562,553571,532738,544753,545454,491509,544520,531780,571428,595588,645220,644480,634656,675403,638297,647727,632978,626811,638157,660156,658653,662878,668749,662499,726851,671874,685810,687499,682064,672101,639344,648333,665254,643616,625000,704545,754167,730931,722876,744844,730669,728895,730654,743242,668631,679824,704860,716953,739077,703512,747158,772059,741141,747663,732797,750000,810484,741802,765625,828629,862500,887867,902912,879120,899350,875000,850329,923386,894927,949073,958333,1002232,972058,970929,1040816,1006410,994047,943313,958333,941531,978722,932926,945312,1007576,985074,954999,1052778,950892,967187,926339,958333,941964,934090,987499,963414,1015625,1115853,1032895,1149390,984154,1064285,1019231,1023809,1039773,951922,1062500,964285,944444,1029762,1120370,1060345,1016304,929999,899390,932291,869318,704545,778409,702380,699999,831730,712499,835937,762500,835000,804166,769737,727272,815341,729166,782609,790625,892360,838940,840686,822674,794120,797790,757810,861610,753680,657890,632580,826700,726060,807140,843080,761030,806550,786580,781250,736410,693880,694440,732140,672620,783850,791670,823980,845980,806450,769230,806370,837840,796880,799110,859380,888890,952870,963110,1000000,1000000,987740,893140,959740,942070,893750,905000,967500,975000,987000,1047500,1050000,1058000,952500,1181500,980000,1075000,980000,957000,1000000,1142500,1100000,1150000,1105000,1049000,1077500,1050000,1200000,1200000,1100000,952500,1141400,1187500,1200000,1237500,1218500,1150000,1200000,1165000,1225000,1050000,1118700,1150000,1174500,1250000,1325000,1315000,1272500,1224000,1207120,1250000,1252500,1230000,1268900,1317500,1371000,1392500,1385000,1415000,1415000,1325000,1222500,1395000,1450000,1172940,1270500,1149500,1290000,1300000,1350000,1400000,1370000,1257000,1230000,1360000,1397500,1270000,1300000,1294000,1347500,1376000,1365000,1500000,1490000,1545500,1512500,1550000,1468500,1425000,1459000,1350000,1540000,1627500,1610000,1632500,1712500,1750000,1560000,1710000,1685000,1535000,1510000,1450000,1676000,1720000,2112500,2100305,1800000,1720000,1626000,1735000,1662500,1535000,1500000,1201000,1447500,1600000,830259.584
Mariposa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000,140000,183333,165000,187500,194999,180000,190000,237499,182500,214285,208333,237499,256250,237499,262500,275000,243749,300000,234999,300000,268750,287499,325000,279999,316667,337500,300000,340000,320000,364285,312500,340000,350000,281249,275000,325000,316667,410000,350000,400000,300000,400000,412500,366666,350000,350000,450000,300000,425000,325000,330000,362499,350000,350000,474999,350000,383333,350000,300000,300000,562500,400000,350000,275000,333333,350000,250000,325000,316667,262500,325000,350000,233333,218750,225000,180000,241666,180000,187500,256250,225000,212500,215000,215000,250000,210000,275000,225000,225000,450000,225000,250000,220000,134999,206250,193333,174999,216666,225000,180000,208333,180000,196666,170000,220000,150000,200000,160000,206250,136666,173333,150000,208333,154999,225000,266666,216666,145000,160000,160000,190000,180000,225000,212500,190000,300000,200000,243749,300000,212500,229999,225000,225000,245830,237500,241670,237500,300000,216670,250000,225000,250000,245000,268750,250000,275000,245830,250000,281250,277000,277500,236150,248750,276000,224900,279000,264250,227500,235000,299000,264000,270000,311500,332500,267250,258250,227000,272450,335000,285000,273000,271000,300000,262500,280000,299000,275000,250000,310000,276500,357000,290000,344850,320000,307000,327750,325000,315000,305500,355000,320000,316120,369000,277500,286500,295000,354500,281400,330000,318000,295000,410000,299900,266000,327500,335000,330000,280000,370400,425000,380750,457500,375000,374000,380000,400000,397500,421360,343200,415000,409700,382000,475000,459000,455000,499500,390000,350000,446250,530000,423000,465000,470000,601000,450000,342200,399000,363500,359000,372500,353000,399500,291672.1975
Mendocino,140000,116666,111428,133333,138749,146000,164000,143333,147500,126000,148333,131999,130000,133333,146666,,136666,134999,142000,144286,140000,113749,180000,141667,131249,137999,143333,145000,138999,120000,126666,135999,111111,116666,140000,137999,120000,120000,123333,114545,134999,143333,130000,154999,136249,140000,130000,133636,140000,120000,135555,145555,131999,137142,144286,116999,120000,145000,117499,131999,123333,144000,114444,140000,130000,128000,151999,142857,118749,130909,121111,147500,123333,123333,118999,133999,145000,135454,134444,130000,140000,135454,133749,133333,137999,125000,153333,140000,131999,151428,134444,136249,151111,134166,132857,130000,128571,140000,132999,148000,130000,131428,137142,153333,,137999,150000,138749,144286,181000,137499,143333,148000,131249,157499,162000,137999,150000,162500,142857,152499,142000,167000,182000,152499,173999,171666,165714,177499,185000,147500,167500,180000,154999,175999,197499,205000,252273,233333,213889,182500,227083,170000,197999,200000,208333,232142,207143,262500,198888,217500,252778,252273,240624,260416,246874,246874,309091,272222,270833,271428,275000,267500,261111,331818,289583,306250,268750,307692,300000,300000,311765,311111,356818,332143,350000,361904,378571,392856,345000,369999,359999,374999,374999,393749,389473,411111,378124,393749,405556,409091,383333,408333,431250,442857,397058,430000,416667,428571,392856,442307,435000,440909,435000,442857,391666,493749,391666,435000,516667,553571,431250,380768,450000,400000,369999,406250,294999,433333,350000,356249,412500,337500,322222,345000,357142,320000,250000,266666,275000,250000,262500,267857,291666,258333,218750,247726,287499,250000,262500,237499,262500,294999,240620,280000,257143,239999,258330,232500,304550,251790,220830,225000,200000,192500,225000,281250,181430,214280,201920,220000,260710,190000,204170,190000,190000,225000,209090,254540,257140,235000,206250,211360,262500,223080,246430,245000,259090,221880,350000,250000,242860,286360,276670,285710,255000,300000,278570,298500,271500,270000,263675,295000,330150,299000,292975,295000,355000,329000,270000,257500,309000,290000,350000,310000,305100,317000,345000,340000,353500,369000,360000,355000,382500,379000,331000,330000,350000,345000,362500,370000,360000,371500,366000,417500,381500,395000,358000,410000,445000,370000,402500,419000,405000,374500,409500,425000,420000,379000,430000,420000,449000,393750,430000,433500,420000,414000,424900,384560,377000,394500,418500,388500,399000,395000,413500,407500,406500,400290,447000,412000,467000,382810,395000,426000,425000,485000,524000,500250,529500,494000,540000,517500,525000,510000,528000,602500,582500,650000,533000,500000,534000,522500,564950,508500,509500,509000,545000,597500,582000,619500,502500,535000,530000,540000,599000,389000,495500,492500,280069.1713
Merced,83889,77499,85909,84285,100000,92000,116249,97222,96999,105000,106363,92500,95833,108749,102500,109166,100000,103750,104545,112857,101428,96666,103571,98928,108124,107142,108124,100667,101500,102857,105000,106666,99374,97777,89582,110769,106999,90833,87777,104285,97083,95000,92000,95384,97916,100000,97692,103529,92143,84444,91818,91500,89166,110799,95499,93571,92500,95999,100000,97856,90000,101667,86999,92500,90000,94285,96874,103571,96874,96922,84285,91428,89090,100000,85384,88499,97499,92000,104615,96249,87142,83333,89166,98571,86428,95999,93750,93000,87142,85624,98749,99090,91000,93333,79285,89444,100000,92857,89545,100000,103846,97856,93571,107500,90556,96874,103333,98333,94285,90000,100000,97916,104074,107857,111666,99444,101818,112499,102727,112499,98888,106250,104166,98999,96666,107500,113076,113999,110833,125263,110000,121667,123750,131999,122143,127143,121429,142000,131428,139230,132941,138823,149375,117856,137499,146923,143750,144000,153076,157856,157058,154117,171111,170000,177999,167857,186666,178888,175333,186470,193333,190769,190869,200714,190714,210294,195555,201923,197856,187500,201429,204808,221875,230241,228977,246568,243749,263372,261290,262879,261029,278124,283333,283999,294736,326811,325842,334810,335443,344615,328448,318750,335000,342307,305882,327659,329166,324359,325926,266666,310000,294999,316667,287499,282692,280999,267500,276923,273214,284999,285714,250000,241176,241176,241249,225000,220312,200000,204630,182000,160769,166087,151388,134761,132307,122187,126315,115333,114137,101500,98076,110000,98043,98749,110571,107586,113792,108387,114999,110624,96666,100952,108080,115130,124440,119130,107780,121870,121070,107500,108890,117500,100620,117270,115290,103890,111850,114210,113080,126670,120000,121430,117000,106110,112000,119280,115290,120000,119410,107730,133330,123330,138570,123000,142000,136920,137000,125290,144000,139560,151050,154120,163080,155880,178570,171820,151540,160000,149330,181670,154000,164550,171430,158820,173640,186670,159500,190710,177650,178230,168750,168750,190000,204840,203570,206080,195900,190000,205050,195000,215000,211000,193950,199000,185000,205000,223500,213500,215000,220000,214000,233250,215000,235000,225500,231000,229500,247915,243500,250100,260000,250000,260000,250000,255000,239900,257000,267850,257500,259000,262000,275000,267450,288400,280000,271850,261930,269060,279990,269000,275000,276000,285000,287000,283000,278600,277250,285000,275000,278800,282950,285950,280000,273900,285000,300000,319900,335000,300500,322500,315500,315000,307000,318750,318000,325000,350000,360000,357500,369250,370000,370000,375000,375000,387380,390000,385000,395000,414250,400000,410000,385000,377000,380000,367750,340000,369000,381950,400000,178959.4135
